lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
2.9646,-60.1787,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.66,Amazônia,90.1
2.9463,-60.179,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.26,Amazônia,83.3
2.1064,-60.2289,BONFIM,RORAIMA,1400159,14,5.0,0.79,0.13,Amazônia,47.6
-7.0207,-34.9391,SANTA RITA,PARAÍBA,2513703,25,-999.0,0.0,0.81,Mata Atlântica,131.4
2.9646,-60.1787,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.66,Amazônia,80.5
2.9463,-60.179,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.26,Amazônia,84.8
2.9463,-60.179,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.26,Amazônia,85.6
2.9646,-60.1787,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.66,Amazônia,66.3
-6.121,-35.2681,SÃO JOSÉ DE MIPIBU,RIO GRANDE DO NORTE,2412203,24,11.0,0.0,1.0,Mata Atlântica,59.5
-10.3898,-51.8985,CONFRESA,MATO GROSSO,5103353,51,0.0,19.21,0.0,Amazônia,58.3
2.9463,-60.179,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.26,Amazônia,87.2
2.1064,-60.2289,BONFIM,RORAIMA,1400159,14,5.0,0.79,0.13,Amazônia,61.4
-6.121,-35.2681,SÃO JOSÉ DE MIPIBU,RIO GRANDE DO NORTE,2412203,24,11.0,0.0,1.0,Mata Atlântica,129.2
-6.14,-35.266,SÃO JOSÉ DE MIPIBU,RIO GRANDE DO NORTE,2412203,24,11.0,0.0,1.0,Mata Atlântica,66.5
-6.1404,-35.2386,SÃO JOSÉ DE MIPIBU,RIO GRANDE DO NORTE,2412203,24,13.0,0.0,0.64,Mata Atlântica,81.4
-6.1213,-35.2408,SÃO JOSÉ DE MIPIBU,RIO GRANDE DO NORTE,2412203,24,13.0,0.0,0.81,Mata Atlântica,152.7
2.9463,-60.179,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.26,Amazônia,81.7
2.9646,-60.1787,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.66,Amazônia,60.2
2.9463,-60.179,BONFIM,RORAIMA,1400159,14,8.0,0.0,0.26,Amazônia,62.6
-31.21451,-53.66051,BAGÉ,RIO GRANDE DO SUL,4301602,43,3.0,0.0,0.61,Pampa,22.7
-31.22193,-53.6551,BAGÉ,RIO GRANDE DO SUL,4301602,43,4.0,0.0,0.74,Pampa,22.3
-14.77356,-46.38042,SÍTIO D'ABADIA,GOIÁS,5220702,52,3.0,0.0,0.04,Cerrado,4.5
-12.92567,-45.27599,SÃO DESIDÉRIO,BAHIA,2928901,29,3.0,0.0,0.01,Cerrado,5.2
-12.91632,-45.27746,SÃO DESIDÉRIO,BAHIA,2928901,29,3.0,0.0,0.01,Cerrado,8.6
-17.30254,-46.43713,JOÃO PINHEIRO,MINAS GERAIS,3136306,31,1.0,0.0,0.0,Cerrado,5.0
-14.30049,-49.09778,CAMPINORTE,GOIÁS,5204706,52,0.0,1.88,0.0,Cerrado,4.4
-17.33987,-46.56758,PARACATU,MINAS GERAIS,3147006,31,2.0,0.0,0.0,Cerrado,3.6
-12.92719,-45.28605,SÃO DESIDÉRIO,BAHIA,2928901,29,3.0,0.0,0.01,Cerrado,8.0
-10.38589,-51.90458,CONFRESA,MATO GROSSO,5103353,51,0.0,18.98,0.0,Amazônia,13.0
-7.45553,-48.45884,ARAGUAÍNA,TOCANTINS,1702109,17,0.0,28.73,0.0,Amazônia,7.4
-7.64923,-47.4217,GOIATINS,TOCANTINS,1709005,17,2.0,22.25,0.0,Cerrado,7.9
