lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
2.8909,-60.465,BONFIM,RORAIMA,1400159,14,,,,Amazônia,107.6
-16.1112,-58.2071,CÁCERES,MATO GROSSO,5102504,51,,,,Pantanal,83.6
2.8909,-60.465,BONFIM,RORAIMA,1400159,14,,,,Amazônia,86.1
-16.1112,-58.2071,CÁCERES,MATO GROSSO,5102504,51,,,,Pantanal,82.3
-17.7994,-40.0649,IBIRAPUÃ,BAHIA,2912806,29,,,,Mata Atlântica,64.3
2.8909,-60.465,BONFIM,RORAIMA,1400159,14,,,,Amazônia,76.1
-9.823667,-36.114689,SÃO MIGUEL DOS CAMPOS,ALAGOAS,2708600,27,,,,Mata Atlântica,
-9.833349,-36.112663,SÃO MIGUEL DOS CAMPOS,ALAGOAS,2708600,27,,,,Mata Atlântica,
-9.895876,-37.618679,POÇO REDONDO,SERGIPE,2805406,28,,,,Caatinga,
-9.8577,-36.0568,SÃO MIGUEL DOS CAMPOS,ALAGOAS,2708600,27,,,,Mata Atlântica,122.9
-16.30011,-42.76501,GRÃO MOGOL,MINAS GERAIS,3127800,31,,,,Cerrado,56.0
-18.45832,-39.80053,CONCEIÇÃO DA BARRA,ESPÍRITO SANTO,3201605,32,,,,Mata Atlântica,9.7
-18.57027,-45.1039,FELIXLÂNDIA,MINAS GERAIS,3125705,31,,,,Cerrado,17.1
-18.56741,-45.09851,FELIXLÂNDIA,MINAS GERAIS,3125705,31,,,,Cerrado,20.0
-18.45965,-39.81047,CONCEIÇÃO DA BARRA,ESPÍRITO SANTO,3201605,32,,,,Mata Atlântica,6.8
-18.80746,-41.14564,MANTENÓPOLIS,ESPÍRITO SANTO,3203304,32,,,,Mata Atlântica,8.2
-16.30171,-42.77831,GRÃO MOGOL,MINAS GERAIS,3127800,31,,,,Cerrado,14.1
-7.95281,-35.08552,PAUDALHO,PERNAMBUCO,2610608,26,,,,Mata Atlântica,10.9
-8.9534,-40.58613,PETROLINA,PERNAMBUCO,2611101,26,,,,Caatinga,8.9
-10.0114,-37.56741,MONTE ALEGRE DE SERGIPE,SERGIPE,2804201,28,,,,Caatinga,6.2
-11.94631,-43.9476,WANDERLEY,BAHIA,2933455,29,,,,Cerrado,7.9
-9.51997,-43.03483,CAMPO ALEGRE DE LOURDES,BAHIA,2905909,29,,,,Caatinga,6.2
-9.92547,-37.54386,PORTO DA FOLHA,SERGIPE,2805604,28,,,,Caatinga,29.0
-7.98085,-44.27135,SEBASTIÃO LEAL,PIAUÍ,2210631,22,,,,Cerrado,8.5
-9.92704,-37.55447,PORTO DA FOLHA,SERGIPE,2805604,28,,,,Caatinga,14.0
-7.68341,-35.28177,VICÊNCIA,PERNAMBUCO,2616308,26,,,,Mata Atlântica,9.6
-9.95746,-36.12907,CORURIPE,ALAGOAS,2702306,27,,,,Mata Atlântica,39.9
-9.46775,-35.87152,RIO LARGO,ALAGOAS,2707701,27,,,,Mata Atlântica,7.9
-7.6856,-35.27041,VICÊNCIA,PERNAMBUCO,2616308,26,,,,Mata Atlântica,10.7
2.8909,-60.465,BONFIM,RORAIMA,1400159,14,,,,Amazônia,57.4
2.8909,-60.465,BONFIM,RORAIMA,1400159,14,,,,Amazônia,63.8
2.8909,-60.465,BONFIM,RORAIMA,1400159,14,,,,Amazônia,69.7
