lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
-13.2516,-45.5509,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,
-13.2471,-45.5336,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,
-13.26891,-45.56372,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,23.8
-13.26745,-45.55385,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,20.0
-13.33733,-44.11688,SANTA MARIA DA VITÓRIA,BAHIA,2928109,29,,,,Cerrado,7.0
-13.27036,-45.57358,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,12.2
-8.32741,-37.33314,SERTÂNIA,PERNAMBUCO,2614105,26,,,,Caatinga,0.8
-11.42221,-45.09718,RIACHÃO DAS NEVES,BAHIA,2926202,29,,,,Cerrado,3.1
-13.26514,-45.5589,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,3.4
-11.42324,-45.09206,RIACHÃO DAS NEVES,BAHIA,2926202,29,,,,Cerrado,3.2
-13.26928,-45.57046,CORRENTINA,BAHIA,2909307,29,,,,Cerrado,3.3
-17.75111,-42.893,ITAMARANDIBA,MINAS GERAIS,3132503,31,,,,Cerrado,1.2
-23.98248,-48.92248,ITAPEVA,SÃO PAULO,3522406,35,,,,Cerrado,2.4
-23.98372,-48.91743,ITAPEVA,SÃO PAULO,3522406,35,,,,Cerrado,2.2
-30.1551,-51.21703,PORTO ALEGRE,RIO GRANDE DO SUL,4314902,43,,,,Pampa,2.7
-2.92212,-40.48767,JIJOCA DE JERICOACOARA,CEARÁ,2307254,23,,,,Caatinga,1.6
-2.91847,-40.4871,JIJOCA DE JERICOACOARA,CEARÁ,2307254,23,,,,Caatinga,1.6
-4.58647,-37.73324,ARACATI,CEARÁ,2301109,23,,,,Caatinga,2.1
-3.29972,-42.90104,SANTA QUITÉRIA DO MARANHÃO,MARANHÃO,2110104,21,,,,Cerrado,1.1
-3.29638,-42.90052,SANTA QUITÉRIA DO MARANHÃO,MARANHÃO,2110104,21,,,,Cerrado,0.5
-9.56445,-45.06055,MONTE ALEGRE DO PIAUÍ,PIAUÍ,2206605,22,,,,Cerrado,1.0
-5.3349,-45.20954,BARRA DO CORDA,MARANHÃO,2101608,21,,,,Cerrado,0.7
-9.72515,-43.93939,MORRO CABEÇA NO TEMPO,PIAUÍ,2206654,22,,,,Caatinga,0.3
-5.33822,-45.21008,BARRA DO CORDA,MARANHÃO,2101608,21,,,,Cerrado,0.7
