lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
2.0492,-61.8172,IRACEMA,RORAIMA,1400282,14,4.0,0.0,0.32,Amazônia,68.8
2.0674,-61.7982,IRACEMA,RORAIMA,1400282,14,4.0,0.0,0.32,Amazônia,55.3
2.0674,-61.817,IRACEMA,RORAIMA,1400282,14,4.0,0.0,0.32,Amazônia,66.9
-10.1974,-36.4278,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Mata Atlântica,100.2
-10.1775,-36.4582,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Caatinga,99.7
-10.1968,-36.4547,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,0.71,Mata Atlântica,131.2
-10.4003,-36.8996,JAPOATÃ,SERGIPE,2803401,28,5.0,0.0,1.0,Mata Atlântica,181.6
-10.4008,-36.8728,JAPOATÃ,SERGIPE,2803401,28,3.0,0.0,1.0,Mata Atlântica,130.4
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,1.0,2.32,0.73,Amazônia,197.5
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,2.34,0.68,Amazônia,86.5
2.8004,-60.1052,BONFIM,RORAIMA,1400159,14,1.0,2.15,1.0,Amazônia,67.5
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,1.0,2.47,0.97,Amazônia,126.3
2.4148,-61.2102,MUCAJAÍ,RORAIMA,1400308,14,4.0,0.0,0.34,Amazônia,56.1
2.4149,-61.1913,MUCAJAÍ,RORAIMA,1400308,14,4.0,0.0,0.45,Amazônia,56.2
2.0492,-61.8172,IRACEMA,RORAIMA,1400282,14,4.0,0.0,0.32,Amazônia,81.4
2.0492,-61.7984,IRACEMA,RORAIMA,1400282,14,4.0,0.0,0.31,Amazônia,67.7
-10.293,-36.4642,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Mata Atlântica,117.4
-10.2737,-36.4677,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Mata Atlântica,98.6
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,0.79,Cerrado,82.7
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,1.0,2.32,0.73,Amazônia,183.4
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,2.34,0.68,Amazônia,93.1
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,1.0,2.47,0.97,Amazônia,102.8
2.4148,-61.2102,MUCAJAÍ,RORAIMA,1400308,14,4.0,0.0,0.34,Amazônia,55.9
2.0492,-61.8172,IRACEMA,RORAIMA,1400282,14,4.0,0.0,0.32,Amazônia,76.6
-10.178,-36.4313,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Mata Atlântica,110.4
-10.1775,-36.4582,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Caatinga,122.3
